imgSrc,text
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,poor girl beg another rich  girl .feel the poor girl.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,The female got hurt so she asked for handkerchief.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,The one girl was entering the room and she looks very weird and talking to him about he was going to be late for a outing
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,A young boy in search of his school uniform
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,THE DUNGEON TRAPED SOMETHING HE IS IN THE BOTTOM IN DEEP DARK HE IS DIED HERE. OTHER PEOPLE ARE SHOCKED.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,HERE LEG WAS CUTED BY CLAUSE PEASES AND SHES CRIED
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,A LITTLE BOY STANDING ALONE IN A BEDROOM. HE IS LOOKING A DRESS.  HE SEARCHING A UNIFORM.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,SHE IS CLOSING A EYES. SHE SAID A OPOLGYIZES. SHE IS  VERY SCARED.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,THERE ARE RESQUE THE PERSON UNDER THE HOLE
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,SHE'LL PROBABLY START BAWLING HER EYES OUT SOON.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,The female got hurt and asked for help.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,The girl was thinking about something. SHE WAS
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,A LITTLE BOY IS VERY DREPEESION FEELING.  HE ASKED HIS MOM WHERE IS MY UNIFORM? SHE IS  ANSWER A  I DON'T KNOW.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,he was some problem and he was so tension
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,This image action expression is this gorl leg hurt
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,the character is on her back  short hair above her shoulders  a green shirt with a print of pineapples  with a dark mood about her
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,HE WAS HEAVELY INSURED AND SWEETING.HE DONT KNOW WHAT HAPPEND.AND HE FLOODING IN THE BLOOD
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,she is sadly looking at master .and her master walking away.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,in this image  one boy is very angry.. he is 14 years old.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,Dani is standing inside his room. His friend telling him that he is going to late to his school.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,A young short-haired woman stands in a bedroom with folder arms  looking annoyed.  They silently stare down at an empty bed before a woman in a red shirt walks up behind them speaking to them.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,SHE MISSED HER UNIFORM. SHE WAS VERY LATE BUT HER UNIFORM NOT HERE YET. SHE WAS YELLING HER MOM.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,HE WAS TRAPED IN  THE HOLE AND SEVERELY INSURED. HE WAS TRY TO GET UP FROM THE HOLE
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,A boy name is Dani. He was going to school delay. Because his dress was damaged.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,THE LITTLE GIRL WAS CLUMSY AND THE MAIDS ARE GOSSIPING ABOUT THE HER.AND ANOTHER GIRLS CAME DOWN  THE MAID FEARLY ASKING HER WHAT TO DO AND ALSO ASKED THE LITTLE GIRLS TO HANDKERCHIEF
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,People are angry with each other for getting late
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,THE GIRL IS LITTLE BIT LAZY SO SHE WAKE UP LATE.  THEN SHE WAS YELLING BY SOMEONEBUT IN MY OPINION NOTHING IS WRONG SHE IS STUDY ALL NIGHT SO SHE SLEEP MORNING.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,The 2 men's are looking the Dungeon and one men said lot of traps are there.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,A boy asking question and say about late.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,SHE WILL PROBABLY START CRYING EYES OUT SOON
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,ONE BOY ANGRYING FIGHT AND CRYING CONDITION LOOL LIKE.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,the image was urgh to hold for people maind in the are image.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,One girl beg the another girl. I worried this moment
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,The boy in the comic image fought and died in a war in a war zone. 
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,In the picture  a boy is leaving after waiting and a girl asks him where are you going and the boy replies that you are late.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,A girl's mother asks what she is doing  as she is late for an appointment. The girl looks angry about something.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,someone is ignoring another one. It is very jealous with hime
